0,0
0.01,0.1000015
0.02,0.200011
0.02198,0.2198145
0.03,0.300037
0.04,0.4000875
0.05,0.50017
0.06,0.600295
0.07,0.70047
0.07608,0.761405
0.08,0.8007
0.09,0.901
0.09008,0.9018
0.1,1.00137
0.11,1.101825
0.12,1.20237
0.13,1.303015
0.14,1.403765
0.14058,1.40961
0.15,1.50463
0.15458,1.550865
0.16,1.60562
0.17,1.70674
0.17738,1.78146
0.18,1.808005
0.19,1.909415
0.19758,1.986385
0.2,2.01098
0.20858,2.098255
0.21,2.112715
0.21128,2.125745
0.22,2.21462
0.22038,2.218495
0.23,2.316705
0.23248,2.342055
0.24,2.418985
0.25,2.52146
0.26,2.624145
0.27,2.727045
0.271055,2.737915
0.28,2.830165
0.29,2.93352
0.3,3.037115
0.31,3.14096
0.32,3.245065
0.32493,3.296485
0.33,3.34943
0.34,3.454075
0.34433,3.49947
0.35,3.559
0.35763,3.639255
0.36,3.664215
0.36423,3.708815
0.37,3.769735
0.37923,3.8674
0.38,3.87556
0.38493,3.927845
0.39,3.9817
0.4,4.088165
0.41,4.19497
0.42,4.302115
0.43,4.40961
0.43693,4.484315
0.44,4.517465
0.45,4.625685
0.46,4.73429
0.47,4.843275
0.48,4.952655
0.49,5.06245
0.5,5.17265
0.51,5.28325
0.52,5.3943
0.52023,5.39685
0.53,5.5058
0.53253,5.53405
0.54,5.6177
0.549028,5.71915
0.55,5.7301
0.56,5.84295
0.567991,5.93345
0.57,5.95625
0.572291,5.9823
0.58,6.07005
0.59,6.18435
0.6,6.29915
0.61,6.41445
0.615566,6.47885
0.62,6.53025
0.623666,6.57285
0.63,6.6466
0.631766,6.6672
0.64,6.76345
0.640566,6.7701
0.65,6.8809
0.651066,6.89345
0.66,6.99885
0.67,7.1174
0.68,7.23645
0.69,7.35615
0.699666,7.47235
0.7,7.4764
0.71,7.59725
0.717566,7.6891
0.72,7.7187
0.729766,7.8379
0.73,7.84075
0.74,7.96345
0.75,8.08675
0.76,8.2107
0.768766,8.3199
0.77,8.3353
0.772966,8.3724
0.78,8.46055
0.786166,8.53815
0.79,8.5865
0.790541,8.5933
0.8,8.71305
0.81,8.84035
0.82,8.9683
0.826294,9.04915
0.83,9.0969
0.837669,9.19605
0.84,9.22625
0.844144,9.2801
0.85,9.35635
0.857532,9.45475
0.86,9.4871
0.87,9.6186
0.88,9.75085
0.880725,9.7605
0.89,9.88385
0.9,10.0176
0.901825,10.0421
0.91,10.1521
0.92,10.28735
0.928825,10.40735
0.93,10.4234
0.94,10.5602
0.942625,10.59625
0.95,10.6978
0.96,10.83625
0.97,10.97545
0.98,11.11545
0.99,11.2563
0.992986,11.2985
1,11.39795
1.01,11.5404
1.01678,11.6375
1.02,11.68375
1.03,11.8279
1.03198,11.85655
1.04,11.9729
1.04698,12.07465
1.05,12.1188
1.06,12.2655
1.06135,12.28545
1.07,12.4131
1.07086,12.42575
1.08,12.56155
1.09,12.7109
1.09896,12.8454
1.1,12.86115
1.10686,12.9646
1.11,13.01225
1.12,13.16425
1.13,13.3171
1.13245,13.3548
1.14,13.4709
1.14945,13.61715
1.15,13.6256
1.16,13.7812
1.17,13.9377
1.17625,14.03605
1.18,14.09515
1.18953,14.246
1.19,14.25345
1.2,14.4127
1.21,14.5729
1.21746,14.6929
1.22,14.734
1.2247,14.8101
1.23,14.896
1.24,15.05895
1.25,15.2228
1.26,15.3876
1.27,15.55335
1.28,15.72
1.29,15.8876
1.3,16.0561
1.30654,16.1668
1.31,16.2255
1.32,16.39585
1.32266,16.4414
1.33,16.56715
1.34,16.7393
1.35,16.91245
1.36,17.08645
1.37,17.2614
1.38,17.4372
1.39,17.61395
1.4,17.7916
1.41,17.9701
1.42,18.1495
1.43,18.3298
1.44,18.51095
1.45,18.693
1.46,18.87585
1.47,19.0596
1.48,19.24415
1.49,19.42955
1.5,19.61575
1.51,19.8028
1.51903,19.97245
1.52,19.9906
1.53,20.1792
1.54,20.3686
1.54683,20.4985
1.55,20.55875
1.55973,20.7446
1.56,20.74965
1.57,20.9413
1.58,21.13365
1.58823,21.2926
1.59,21.3267
1.6,21.5205
1.60753,21.6669
1.61,21.7149
1.61673,21.84625
1.62,21.91
1.62303,21.96935
1.63,22.10575
1.64,22.30215
1.65,22.4991
1.65621,22.6218
1.66,22.6967
1.6629,22.7541
1.67,22.8948
1.6716,22.9266
1.68,23.0935
1.69,23.29275
1.7,23.4925
1.71,23.6927
1.71687,23.83055
1.72,23.8934
1.73,24.09455
1.73607,24.21685
